Material,Type of metric,Unit,Avg BF-BOF,BAT BF-BOF,BAT BF-BOF_bio PCI,BAT BF-BOF_H2 PCI,BAT BF-BOF+CCUS,DRI-EAF,DRI-EAF_50% green H2,DRI-EAF_50% bio-CH4,DRI-EAF+CCUS,DRI-EAF_100% green H2,Smelting Reduction,Smelting Reduction+CCUS,EAF,Charcoal mini furnace,Electrolyzer-EAF,Close plant,BAT BF-BOF+CCU,DRI-Melt-BOF,DRI-Melt-BOF+CCUS,DRI-Melt-BOF_100% zero-C H2,Electrowinning-EAF,BAT BF-BOF+BECCUS
Iron ore,Feedstock,t/t steel,1.539020382,1.120645909,1.120645909,1.120645909,1.166625,1.59375,1.59375,1.59375,1.59375,1.59375,1.202172,1.202172,0,1.66005,1.171875,0,1.118887414,1.570717742,1.570717742,1.59375,1.171875,1.118887414
Scrap,Feedstock,t/t steel,0.051,0.255,0.255,0.255,0.255,0,0,0,0,0,0.255,0.255,1.13832,0,0.255,0,0.255,0,0,0,0.255,0.255
DRI,Feedstock,t/t steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Met coal,Feedstock,t/t steel,0.618648437,0.441492975,0.234942975,0.349692975,0.373030108,0,0,0,0,0.030887324,0,0,0.01734,0,0,0,0.234942975,0,0,0,0,0.22980848
Coke,Fuel,GJ/t steel,8.3722314,4.75371,4.75371,4.75371,4.016546253,0,0,0,0,0,0,0,0,0,0,0,4.75371,0,0,0,0,4.649821379
Thermal coal,Fuel,GJ/t steel,2.062600956,1.35170451,1.35170451,1.35170451,0.313529811,0,0,0,0,0,10.75182153,10.75182153,0,0,0,0,0.299300786,0,0,0,0,0.299300786
BF gas,Fuel,GJ/t steel,7.186104,5.2326,3.998981139,3.998981139,5.2326,0,0,0,0,0,0,0,0,0,0,0,5.2326,0,0,0,0,5.2326
COG,Fuel,GJ/t steel,2.796647297,1.587921975,1.587921975,1.587921975,1.342297444,0,0,0,0,0,0,0,0,0,0,0,1.587921975,0,0,0,0,1.553835693
BOF gas,Fuel,GJ/t steel,0.816,0.816,0.816,0.816,0.816,0,0,0,0,0,0.816,0.816,0,0,0,0,0.816,0.8,0.8,0,0,0.816
Natural gas,Fuel,GJ/t steel,0.33250011,0.233871975,0.233871975,0.233871975,0.240098465,14.00079076,11.03093905,7.716435378,14.00079076,0,0.0612,0.0612,1.48308,2.632293281,0,0,0.239679964,12.53259456,12.53259456,0,0,0.239679964
Plastic waste,Fuel,GJ/t steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biomass,Fuel,GJ/t steel,0,0,5.86602,0,0,0,0,0,0,0,0,0,0,17.033184,0,0,5.86602,0,0,0,0,4.956368952
Biomethane,Fuel,GJ/t steel,0,0,0,0,0,0,0,6.284355378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen,Fuel,GJ/t steel,0,0,0,2.5245,0,0,2.628818182,0,0,8.762727273,0,0,0,0,0,0,21.04421087,0,0,8.762727273,0,0
Electricity,Purchased energy,GJ/t steel,-1.019141003,-0.811856124,-0.811856124,-0.811856124,5.2286793,2.170373594,2.170373594,2.170373594,5.512222655,5.985242669,2.151054168,4.441112023,2.28582,0.409428,13.0563241,0,1.539571872,0.682057472,3.404559694,6.059638902,11.773572,5.535606789
Steam,Purchased energy,GJ/t steel,0,0,0,0,0,0.306,0.306,0.306,0.306,0.306,0.153,0.153,0.306,0.204408,0.306,0,0,0.207216287,0.207216287,0.207216287,0.306,0.238349249
BF slag,Other,kg/t steel,346.698,252.45,252.45,252.45,252.45,0,0,0,0,0,0,0,0,0,0,0,252.45,0,0,0,0,252.45
Other slag,Other,kg/t steel,127.5,127.5,127.5,127.5,127.5,275.4,275.4,275.4,275.4,275.4,316.2,316.2,183.6,0,0,0,127.5,316.2,316.2,316.2,0,127.5
Process emissions,Other,tCO2/t steel,0.071505315,0.066000375,-0.725999625,0.066000375,0.066000375,0.0816,0.0816,0.0816,0.0816,0.0816,0.02295,0.02295,0.0816,0,0.0816,0,-0.792,0.02295,0.02295,0.051255,0.0816,-0.603183196
Emissivity wout CCS,Other,tCO2/t steel,2.433769833,1.794210229,0.681469325,1.473469325,1.68511861,0.851643492,0.688301648,0.506003946,0.851643492,0.0816,1.204329445,1.204329445,0.1631694,0.14477613,0.0816,0,0.83655094,0.865762701,0.865762701,0.051255,0.0816,1.023867947
Captured CO2,Other,tCO2/t steel,0,0,0,0,1.431,0,0,0,0.766479142,0,0,1.06021197,0,0,0,0,0,0,0.757440847,0,0,1.523746366
Used CO2,Other,tCO2/t steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.497687907,0,0,0,0,0
Emissivity,Other,tCO2/t steel,2.433769833,1.794210229,0.681469325,1.473469325,0.25411861,0.851643492,0.688301648,0.506003946,0.085164349,0.0816,1.204329445,0.144117475,0.1631694,0.14477613,0.0816,0,-0.661136967,0.865762701,0.108321854,0.051255,0.0816,-0.499878419
