,year,steel_demand,steel_capacity,potential_extra_capacity,capacity_utilization_factor,scrap_availability,scrap_consumption,scrap_avail_above_cons,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario
0,2020,1940.7042535,2362.5,0.0,0.821,1940.7042535,1.7747070870853499,1938.9295464129148,True,False,True,average,average,average
1,2021,1953.8683985,2397.9375,0.0,0.815,1953.8683985,1.8173000571753983,1952.0510984428247,True,False,True,average,average,average
2,2022,1965.9951145,2433.375,0.0,0.808,1965.9951145,0.0,1965.9951145,True,False,True,average,average,average
3,2023,1975.158386,-6604.625000000238,8249.552,-0.299,1975.158386,0.0,1975.158386,True,False,True,average,average,average
4,2024,1981.4709990000001,-12355.07300000024,13718.79,-0.16,1981.4709990000001,0.0,1981.4709990000001,True,False,True,average,average,average
5,2025,1985.0042844999998,-3944.2830000002323,5732.073,-0.503,1985.0042844999998,0.0,1985.0042844999998,True,False,True,average,average,average
6,2026,1985.2818730000001,-4892.210000000068,6632.881,-0.406,1985.2818730000001,0.6297347728367371,1984.6521382271635,True,False,True,average,average,average
7,2027,1981.8303025,-3109.3290000002044,4935.693,-0.637,1981.8303025,0.4618055000802738,1981.3684969999197,True,False,True,average,average,average
8,2028,1974.5725830000001,-10385.636000000195,11840.927,-0.19,1974.5725830000001,2.1296485045024203,1972.4429344954976,True,False,True,average,average,average
9,2029,1964.1811275,-25566.709000000355,26252.555,-0.077,1964.1811275,2.8395313393365598,1961.3415961606634,True,False,True,average,average,average
10,2030,1951.892804,-11814.154000000126,13175.339,-0.165,1951.892804,0.0,1951.892804,True,False,True,average,average,average
11,2031,1938.9434375,-15758.815000000242,16909.818,-0.123,1938.9434375,0.7346905683095264,1938.2087469316905,True,False,True,average,average,average
12,2032,1926.2854550000002,-11698.997000000152,13040.333,-0.165,1926.2854550000002,0.0,1926.2854550000002,True,False,True,average,average,average
13,2033,1914.4963955,-13858.664000000199,15080.227,-0.138,1914.4963955,1.474098250998739,1913.0222972490012,True,False,True,average,average,average
14,2034,1903.953845,-7088.437000000142,8637.969,-0.269,1903.953845,0.0,1903.953845,True,False,True,average,average,average
15,2035,1894.903303,-15129.468000000006,16267.898,-0.125,1894.903303,2.1296485045024203,1892.7736544954976,True,False,True,average,average,average
16,2036,1887.5721435,-6303.570000000016,7875.964,-0.299,1887.5721435,0.0,1887.5721435,True,False,True,average,average,average
17,2037,1882.169461,-11627.60600000029,12928.395,-0.162,1882.169461,0.0,1882.169461,True,False,True,average,average,average
18,2038,1880.58261,-12405.211000000196,13665.533,-0.152,1880.58261,0.0,1880.58261,True,False,True,average,average,average
19,2039,1884.315244,250.32199999981276,1646.509,7.528,1884.315244,1.4197656696682799,1882.8954783303316,True,False,True,average,average,average
20,2040,1892.568625,-1895.1690000001036,3692.979,-0.999,1892.568625,0.0,1892.568625,True,False,True,average,average,average
21,2041,1903.197416,-12547.190000000131,13823.028,-0.152,1903.197416,0.0,1903.197416,True,False,True,average,average,average
22,2042,1915.6113019999998,1275.8379999998688,703.565,1.501,1915.6113019999998,1.2174872274843582,1914.3938147725155,True,False,True,average,average,average
23,2043,1929.3986505000003,1979.4029999998688,48.966,0.975,1929.3986505000003,6.530922080474088,1922.8677284195262,True,False,True,average,average,average
24,2044,1944.1241765,2028.3689999998687,17.174,0.958,1944.1241765,0.0,1944.1241765,True,False,True,average,average,average
25,2045,1959.295386,2045.5429999998687,16.03,0.958,1959.295386,0.0,1959.295386,True,False,True,average,average,average
26,2046,1974.438071,2061.572999999869,15.944,0.958,1974.438071,0.20991159094557899,1974.2281594090546,True,False,True,average,average,average
27,2047,1989.1377630000002,2077.516999999869,15.497,0.957,1989.1377630000002,1.7037188036019357,1987.4340441963982,True,False,True,average,average,average
28,2048,2003.0108535,2093.0139999998687,14.648,0.957,2003.0108535,0.0,2003.0108535,True,False,True,average,average,average
29,2049,2015.741283,2107.661999999869,13.462,0.956,2015.741283,0.0,2015.741283,True,False,True,average,average,average
30,2050,2026.90155,2121.123999999869,11.834,0.956,2026.90155,0.0,2026.90155,True,False,True,average,average,average
